"discrepancy"
"AIRCRAFT WAS GROUNDED: AT APPROXIMATELY 80-85 KNOTS L1 DOOR LIGHT ILLUMINATED. REJECTED TAKEOFF ACCOMPLISHED. PERFORMED ADJUSTMENT IAW AMM 52-71-11-820-801."
"AIRCRAFT WAS GROUNDED: FORWARD ENTRY DOOR LIGHT ILLUMINATED AFTER LANDING. L1 DOOR WAS RIGGED AND ADJUSTED."
"AIRCRAFT WAS GROUNDED: CABIN ENTRY DOOR FWD ENTRY LIGHT ILLUMINATED AFTER LANDING. DOOR DIFFICULT TO OPEN. LUBED DOOR HINGES, OPERATED DOOR SEVERAL TIMES. NO DEFECTS NOTED."
"AIRCRAFT WAS GROUNDED: FORWARD ENTRY DOOR HARD TO OPEN OR CLOSE. ACCOMPLISHED FORWARD ENTRY DOOR REPAIR AND RIGGING. PER EA 348239."
"AIRCRAFT WAS GROUNDED: DURING CLIMBOUT ABOVE 18,000 R1 DOOR CAUTION ILLUMINATED. FOUND MAIN CAM CENTERING NUT LOOSE, RETORQUED. PRESSURIZED AIRCRAFT. ACCOMPLISHED SATISFACTORY OPERATIIONAL CHECK."
"AIRCRAFT WAS GROUNDED:. IN CRUISE FLIGHT. RIGHT PACK LIGHT ILLUMINATED. LIGHT RESET BUT RECURRED 1 MINUTE LATER PACK TURNED OFF PER QRH. REMOVED AND REPLACED AIR CONDITIONING RAM AIR DOOR EXHAUST ACTUATOR."
"AIRCRAFT WAS GROUNDED: AFT RIGHT DOOR EXIT WINDOW CRAZED. REMOVED AND REPLACED AFT RIGHT DOOR MOUNTED WINDOW IN ACCORDANCE WITH AMM 56-31-00. NO FURTHER DEFECT NOTED. OK FOR SERVICE."
"AIRCRAFT WAS GROUNDED: LIGHT AIRFRAME VIBRATION SIMILAR TO CONTINUOUS VERY LIGHT TURBULENCE DURING ALL ALTITUDES AND AIRSPEEDS. RIGHT AND LEFT NLG DOOR LOWER RED END BUSHINGS WORN. REMOVED AND REPLACED BUSHINGS PER AMM 32-22-11. FIT AND FAIR CHECK GOOD (AALA202312129297). RIGHT AND LEFT ELEVATORS FREEPLAY CHECKS FAIL, ALL PER JOB CARD 08C32527001. FOUND RIGHT AND LEFT ELEVATOR BALANCE PANELS WITH LOOSE HARDWARE. TORQUED PER AMM (AALA202312124118). LEFT AND RIGHT ELEVATOR TAB FOUND WITH LOOSE PUSHROD ENDS. REMOVED ELEVATOR TABS AND REPLACED BUSHINGS. REINSTALLED SAME TABS REF AMM 27-31-31. ELEVATOR TAB PUSHROD ADJUSTMENT ACCOMPLISHED PER AMM 27-31-00; NO ADJUSTMENTS MADE, CHECKED GOOD (AALA202312125127). LEFT AILERON BALANCE TAB FAILED FREEPLAY CHECK CARD 08C57227001. REMOVED BALANCE TAB AND REPLACED ATTACH POINT BEARING REF SRM 51-40-02. REINSTALLED AILERON TAB REF AMM 27-11-21. PERFORMED BALANCE TAB ADJUSTMENT PER AMM 27-11-00. NO DEFECTS (AALA202312121197)."
"AIRCRAFT WAS GROUNDED: LEFT REAR DOOR WILL NOT OPEN FROM OUTSIDE. REPLACED DAMAGE AFT ENTRY DOOR FUSELAGE HINGE TORQUE TUBE (AALA202311162992). REPLACED UPPER HINGE UPPER (AALA202311201558) AND LOWER GUIDE PLATES (AALA202311204536). PER AMM 52-13-41 AND AMM 20-50-11.**(CLOSED)."
"AIRCRAFT WAS GROUNDED: THE GEAR FAILED TO RETRACT AFTER TAKEOFF ALL RED DOOR LIGHTS AND GREEN GEAR LIGHTS WERE ILLUMINATED. WE RAN THE LANDING GEAR DISAGREE CHECK LIST TWICE THE GEAR RETRACTED WHEN THE FIRST OFFICER HELD THE MANUAL GEAR EXTENSION DOOR CLOSED. PERFORMED BITE TEST OF PSEU, PER FIM 32-09-00-810-801, NO FAULTS FOUND, ACCOMPLISHED MANUAL EXTENSION SYSTEM ACCESS DOOR SWITCH ADJUSTMENT, PER AMM 32-34-00-820-802, PERFORMED INSPECTION OF LANDING SELECTOR VALVE, FOUND NO LEAKAGE. AND PERFORMED INSPECTION OF GEAR PROXIMITY SWITCHES, PER AMM 32-09-12."
"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: ORDER FUME IN AFT OF PLANE, WORSE IN AFT GALLEY OILY MUSTY SMELL THAT MADE EYES WATER. COULD NOT DETERMINE SOURCE; AIRCRAFT DIVERTED TO AND LANDED SAFELY AT ELP. ACCOMPLISHED SOF TROUBLESHOOTING WORKCARD 08L00021001. FOUND SOURCE OF ODER TO BE CLOGGED AFT DOOR SILL DRAIN VALVE. REMOVE AND REPLACED DRAIN VALVE. ALL OPERTIONAL AND LEAK CHECKS GOOD. PER AMM 38-31-06."
"AIRCRAFT WAS GROUNDED: AFTER LANDING FLIGHT ATTENDANTS IN THE AFT CABIN REPORTED A STINKY DIRTY DIAPER OR SULPHUR LIKE SMELL UPON LANDING AND SAID NOTICED IT SLIGHTLY DURING TAKEOFF AS WELL. SWITCHED AIRFLOW FROM ENGINE BLEEDS TO APU BLEED AND REMAINED UNTIL WE ARRIVED AT THE GATE, THEN DISAPPEARED. FOUND SMELL COMING FROM AFT GALLEY DOOR DRAINS. CLEANED DRAINS SMELL IS GONE. PER AMM 20-00-00."
"AIRCRAFT WAS GROUNDED: FLIGHT ATTENDANT REPORTS INTERMITTENT SULFUR LIKE ODOR AROUND AREA OF FORWARD SERVICE DOOR BY COAT CLOSET. ACCOMPLISHED JOB CARD 08L00021001. INSPECTED CABIN FOR SULFUR TYPE ODORS. UNABLE TO DUPLICATE. RAN PACKS SEVERAL MINUTES WHILE CYCLING TEMP FULL HOT AND COLD ALSO UNABLE TO DUPLICATE. SUSPECTAPU BLEED VALVE FAILING INTERMITTENTLY CAUSING SMELL THRU PACKS DUE TO HISTORY. APU ECU FLAGGING CODE 49-52238 IN HISTORY. REPEAT DISCREPANCY OF APU BLEED VALVE FAILING. REMOVED AND REPLACED APU BLEED AIR VALVE, PER AMM 49-52-11. OPERTIONAL AND LEAK CHEAKS NORMAL."
"AIRCRAFT WAS GROUNDED: FLIGHT ATTENDANTS REPORTED ROTTEN EGGS ODOR IN CABIN DURING DESCENT. ACCOMPLISHED SOF CARD 08L00021001. FOUND LEFT AFT SERVICE DOOR SILL DRAINS NOT DRAINING. THE WASTE VALVE IS CLOGGED. REMOVED AND REPLACED VALVE. PER AMM 38-31-06. OPERATIONAL CHECKS AND LEAK CHECKS ARE GOOD."
"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: AFTER TAKE OFF GEAR WOULD NOT RETRACT; AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT MIA. REMOVED AND REPLACED MANUAL EXTENSION SYSTEM ACCESS DOOR SWITCH. PER AMM 32-34-11."
"AIRCRAFT WAS GROUNDED: L1 DOOR DIFFICULT TO OPEN. REPLACED L1 ENTRY DOOR MIGRATING HINGE PIN. PER AARD 52-10-00-4."
"AIRCRAFT WAS GROUNDED: LAVATORY-D DOOR STICKS DIFFICULT TO OPEN. LUBED AND ADJUSTED LAVATORY-D DOOR HINGE. OPERTIONAL CHECK GOOD. PER AMM 25-40-14."
"AIRCRAFT WAS GROUNDED: FORWARD LAVATORY-A DOOR HARD TO CLOSE AND OPEN. STRAIGHTEND BENT DOOR TRIM. PER MM 25-40-11."
