"aircraft_serial_number","ata_chapter","ata_description","jasc_code","operator_control_number","failed_part","severity","jasc_description"
31111,55,"Stabilizers","5510","AALA202212281380","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33343,53,"Fuselage","5310","AALA202212283911","other",0,"FUSELAGE MAIN, STRUCTURE"
33343,53,"Fuselage","5320","AALA202212287256","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29525,52,"Doors","5270","AALA202211081286","switch",0,"DOOR WARNING SYSTEM"
31277,56,"Windows","5610","AALA202211081231","window",3,"FLIGHT COMPARTMENT WINDOWS"
29503,56,"Windows","5610","AALA202212300351","window",0,"FLIGHT COMPARTMENT WINDOWS"
29523,53,"Fuselage","5320","AALA202211100465","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29523,53,"Fuselage","5320","AALA202211106901","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33343,53,"Fuselage","5310","AALA202301031168","other",0,"FUSELAGE MAIN, STRUCTURE"
29504,53,"Fuselage","5320","AALA202211149582","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40584,53,"Fuselage","5320","AALA202301049416","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40584,53,"Fuselage","5320","AALA202301045348","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29503,53,"Fuselage","5320","AALA202211153809","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33340,52,"Doors","5250","AALA202402264884","door",0,"FIXED INNER DOORS"
29554,55,"Stabilizers","5510","AALA202301095434","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29503,53,"Fuselage","5310","AALA202301093195","wheel",0,"FUSELAGE MAIN, STRUCTURE"
33327,52,"Doors","5210","AALA202301108024","door",3,"PASSENGER/CREW DOORS"
31069,56,"Windows","5610","AALA202301109450","window",3,"FLIGHT COMPARTMENT WINDOWS"
29503,53,"Fuselage","5340","AALA202211183537","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
44471,52,"Doors","5250","AALA202211185235","door",0,"FIXED INNER DOORS"
29544,25,"Equipment / Furnishings","2560","AALA202211254629","other",1,"EMERGENCY EQUIPMENT"
30078,52,"Doors","5250","AALA202211215628","door",0,"FIXED INNER DOORS"
40766,25,"Equipment / Furnishings","2560","AALA202211225508","door",1,"EMERGENCY EQUIPMENT"
31157,22,"Auto Flight","2200","AALA202211278506","sensor",3,"AUTO FLIGHT SYSTEM"
31109,53,"Fuselage","5320","AALA202211296506","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5320","AALA202211295275","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29510,53,"Fuselage","5320","AALA202302171080","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30905,55,"Stabilizers","5510","AALA202212010959","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29512,53,"Fuselage","5320","AALA202302216171","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5310","AALA202301120840","other",0,"FUSELAGE MAIN, STRUCTURE"
40583,53,"Fuselage","5320","AALA202212055365","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212134820","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40769,53,"Fuselage","5340","AALA202212061188","hinge",0,"FUSELAGE MAIN, ATTACH FITTINGS"
29503,55,"Stabilizers","5520","AALA202212212246","other",0,"ELEVATOR STRUCTURE"
29505,53,"Fuselage","5320","AALA202301182862","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202301188035","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30905,25,"Equipment / Furnishings","2560","AALA202212199585","door",1,"EMERGENCY EQUIPMENT"
29554,53,"Fuselage","5320","AALA202212213266","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5310","AALA202212278027","other",0,"FUSELAGE MAIN, STRUCTURE"
33243,33,"Lights","3350","AALA202211077513","other",1,"EMERGENCY LIGHTING"
29554,55,"Stabilizers","5510","AALA202301099546","other",0,"HORIZONTAL STABILIZER STRUCTURE"
44464,52,"Doors","5250","AALA202211163881","latch",0,"FIXED INNER DOORS"
29504,53,"Fuselage","5320","AALA202211239203","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29510,53,"Fuselage","5320","AALA202302135720","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5310","AALA202211299318","other",0,"FUSELAGE MAIN, STRUCTURE"
29506,53,"Fuselage","5320","AALA202211290887","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31197,25,"Equipment / Furnishings","2560","AALA202212096291","door",1,"EMERGENCY EQUIPMENT"
31085,52,"Doors","5250","AALA202212051728","door",0,"FIXED INNER DOORS"
31171,25,"Equipment / Furnishings","2530","AALA202212216462","oven",1,"BUFFET/GALLEYS"
29510,53,"Fuselage","5310","AALA202301184696","other",0,"FUSELAGE MAIN, STRUCTURE"
29503,55,"Stabilizers","5520","AALA202212211910","other",0,"ELEVATOR STRUCTURE"
30905,53,"Fuselage","5310","AALA202212074098","other",0,"FUSELAGE MAIN, STRUCTURE"
30095,33,"Lights","3350","AALA202212150932","pack",1,"EMERGENCY LIGHTING"
29505,53,"Fuselage","5320","AALA202301186247","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31210,34,"Navigation","3440","AALA202212163968","CND",0,"INDEPENDENT POS. DETERMINING SYSTEM"
29508,53,"Fuselage","5310","AALA202212291749","control rod",0,"FUSELAGE MAIN, STRUCTURE"
31111,53,"Fuselage","5310","AALA202212207167","other",0,"FUSELAGE MAIN, STRUCTURE"
30903,53,"Fuselage","5310","AALA202212207501","wheel",0,"FUSELAGE MAIN, STRUCTURE"
30903,53,"Fuselage","5320","AALA202212201885","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29554,53,"Fuselage","5320","AALA202212216508","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29554,53,"Fuselage","5320","AALA202212211060","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212238811","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33250,25,"Equipment / Furnishings","2560","AALA202211047296","door",1,"EMERGENCY EQUIPMENT"
31069,26,"Fire Protection","2610","AALA202212270068","other",2,"DETECTION SYSTEM"
40583,55,"Stabilizers","5510","AALA202211088415","other",0,"HORIZONTAL STABILIZER STRUCTURE"
31192,52,"Doors","5250","AALA202212287744","door",0,"FIXED INNER DOORS"
31111,55,"Stabilizers","5510","AALA202212287942","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33343,53,"Fuselage","5320","AALA202212281850","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31261,25,"Equipment / Furnishings","2560","AALA202211099264","hinge",1,"EMERGENCY EQUIPMENT"
29503,53,"Fuselage","5320","AALA202211154499","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29554,53,"Fuselage","5330","AALA202301109406","other",0,"FUSELAGE MAIN, PLATE/SKIN"
30085,52,"Doors","5270","AALA202301107786","module",0,"DOOR WARNING SYSTEM"
29504,53,"Fuselage","5320","AALA202211235182","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29563,72,"Engine","7200","AALA202211284021","other",3,"ENGINE (TURBINE/TURBOPROP)"
29503,53,"Fuselage","5320","AALA202211297206","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30084,53,"Fuselage","5340","AALA202211309649","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
33343,52,"Doors","5250","AALA202212019407","door",0,"FIXED INNER DOORS"
31197,25,"Equipment / Furnishings","2560","AALA202212127412","door",1,"EMERGENCY EQUIPMENT"
33243,33,"Lights","3350","AALA202212123535","door",1,"EMERGENCY LIGHTING"
31109,53,"Fuselage","5320","AALA202212069408","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30903,55,"Stabilizers","5510","AALA202212069819","other",0,"HORIZONTAL STABILIZER STRUCTURE"
30903,55,"Stabilizers","5510","AALA202212068924","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33486,53,"Fuselage","5340","AALA202212122773","hinge",0,"FUSELAGE MAIN, ATTACH FITTINGS"
30087,29,"Hydraulic Power","2910","AALA202212065495","pump",3,"HYDRAULIC SYSTEM, MAIN"
44462,52,"Doors","5250","AALA202212061912","latch",0,"FIXED INNER DOORS"
30905,53,"Fuselage","5320","AALA202212079364","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29540,33,"Lights","3350","AALA202212149251","door",1,"EMERGENCY LIGHTING"
30095,55,"Stabilizers","5510","AALA202212166737","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29516,24,"Electrical Power","2420","AALA202212142024","control unit",3,"AC GENERATION SYSTEM"
30903,53,"Fuselage","5320","AALA202212148262","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33488,53,"Fuselage","5320","AALA202212146064","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31273,52,"Doors","5250","AALA202212090100","door",0,"FIXED INNER DOORS"
30095,33,"Lights","3350","AALA202212158145","pack",1,"EMERGENCY LIGHTING"
30905,53,"Fuselage","5320","AALA202304185768","engine",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,53,"Fuselage","5320","AALA202212206141","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29530,53,"Fuselage","5320","AALA202212209187","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29503,53,"Fuselage","5310","AALA202212228413","window",0,"FUSELAGE MAIN, STRUCTURE"
29567,25,"Equipment / Furnishings","2560","AALA202212231906","door",1,"EMERGENCY EQUIPMENT"
29510,53,"Fuselage","5320","AALA202301255387","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212239188","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29508,53,"Fuselage","5320","AALA202212233663","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33492,52,"Doors","5250","AALA202211035020","latch",0,"FIXED INNER DOORS"
29503,55,"Stabilizers","5520","AALA202212216034","other",0,"ELEVATOR STRUCTURE"
30904,53,"Fuselage","5310","AALA202211086206","other",0,"FUSELAGE MAIN, STRUCTURE"
29523,53,"Fuselage","5320","AALA202211105306","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29523,53,"Fuselage","5320","AALA202211104567","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29523,53,"Fuselage","5320","AALA202211108318","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33341,33,"Lights","3350","AALA202211147716","other",1,"EMERGENCY LIGHTING"
33205,56,"Windows","5610","AALA202211145022","window",3,"FLIGHT COMPARTMENT WINDOWS"
29504,53,"Fuselage","5320","AALA202211147812","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31265,53,"Fuselage","5320","AALA202211144658","panel",3,"FUSELAGE MISCELLANEOUS STRUCTURE"
29503,53,"Fuselage","5340","AALA202211157333","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
29544,25,"Equipment / Furnishings","2560","AALA202211257610","other",1,"EMERGENCY EQUIPMENT"
31127,25,"Equipment / Furnishings","2560","AALA202211212008","door",1,"EMERGENCY EQUIPMENT"
29555,53,"Fuselage","5320","AALA202211217121","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40583,53,"Fuselage","5320","AALA202211280044","wheel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29571,33,"Lights","3350","AALA202211287512","other",1,"EMERGENCY LIGHTING"
33234,33,"Lights","3350","AALA202212096935","other",1,"EMERGENCY LIGHTING"
30905,53,"Fuselage","5310","AALA202212120874","other",0,"FUSELAGE MAIN, STRUCTURE"
29505,53,"Fuselage","5320","AALA202301180952","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202301186439","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202301188082","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202301187426","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202301186667","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44484,25,"Equipment / Furnishings","2530","AALA202212192187","oven",1,"BUFFET/GALLEYS"
31111,53,"Fuselage","5320","AALA202212205396","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212200354","other",0,"HORIZONTAL STABILIZER STRUCTURE"
31145,22,"Auto Flight","2210","AALA202212212716","panel",3,"AUTOPILOT SYSTEM"
29562,52,"Doors","5250","AALA202211035419","latch",0,"FIXED INNER DOORS"
29508,53,"Fuselage","5320","AALA202212270733","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44452,33,"Lights","3350","AALA202510167723","pack",1,"EMERGENCY LIGHTING"
31143,53,"Fuselage","5340","AALA202212277338","hinge",0,"FUSELAGE MAIN, ATTACH FITTINGS"
29510,53,"Fuselage","5320","AALA202301115471","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29504,53,"Fuselage","5320","AALA202211159299","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5320","AALA202211153052","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44446,25,"Equipment / Furnishings","2560","AALA202301107537","door",1,"EMERGENCY EQUIPMENT"
31189,32,"Landing Gear","3240","AALA202211186951","valve",2,"LANDING GEAR BRAKE SYSTEM"
31133,52,"Doors","5250","AALA202211213349","latch",3,"FIXED INNER DOORS"
30903,53,"Fuselage","5310","AALA202211233413","other",0,"FUSELAGE MAIN, STRUCTURE"
30905,53,"Fuselage","5320","AALA202211231453","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40583,53,"Fuselage","5320","AALA202211256588","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44474,27,"Flight Controls","2750","AALA202211252313","sensor",2,"TE FLAP CONTROL SYSTEM"
29504,53,"Fuselage","5320","AALA202211295670","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33203,22,"Auto Flight","2210","AALA202211302167","actuator",3,"AUTOPILOT SYSTEM"
29506,53,"Fuselage","5310","AALA202212093392","wheel",0,"FUSELAGE MAIN, STRUCTURE"
40583,25,"Equipment / Furnishings","2530","AALA202212129819","oven",3,"BUFFET/GALLEYS"
30905,53,"Fuselage","5310","AALA202212064814","panel",0,"FUSELAGE MAIN, STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212213795","other",0,"HORIZONTAL STABILIZER STRUCTURE"
31109,53,"Fuselage","5320","AALA202212065225","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212140848","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31171,52,"Doors","5250","AALA202212076336","door",0,"FIXED INNER DOORS"
29554,55,"Stabilizers","5510","AALA202301067729","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29542,28,"Fuel","2820","AALA202212199922","valve",3,"ACFT FUEL DISTRIB. SYSTEM"
33489,57,"Wings","5750","AALA202212293686","other",0,"WING, CONTROL SURFACES"
29554,53,"Fuselage","5320","AALA202212208353","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30082,38,"Water / Waste","3830","AALA202212207260","sensor",3,"WASTE DISPOSAL SYSTEM"
29554,53,"Fuselage","5320","AALA202212213929","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29504,53,"Fuselage","5320","AALA202212226600","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29509,72,"Engine","7200","AALA202212231508","CND",3,"ENGINE (TURBINE/TURBOPROP)"
29508,53,"Fuselage","5320","AALA202212276009","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5310","AALA202212279349","other",0,"FUSELAGE MAIN, STRUCTURE"
29508,53,"Fuselage","5320","AALA202212279158","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44464,52,"Doors","5250","AALA202308286393","door",0,"FIXED INNER DOORS"
33203,22,"Auto Flight","2210","AALA202211072167","CND",3,"AUTOPILOT SYSTEM"
33341,33,"Lights","3350","AALA202211104966","pack",1,"EMERGENCY LIGHTING"
31228,52,"Doors","5250","AALA202211108110","door",0,"FIXED INNER DOORS"
31087,52,"Doors","5250","AALA202211087048","hinge",0,"FIXED INNER DOORS"
29505,53,"Fuselage","5320","AALA202301031610","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33234,25,"Equipment / Furnishings","2560","AALA202301031147","door",1,"EMERGENCY EQUIPMENT"
29503,53,"Fuselage","5320","AALA202211145541","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30903,53,"Fuselage","5320","AALA202211233964","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30084,53,"Fuselage","5340","AALA202211300452","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
31109,53,"Fuselage","5320","AALA202211300658","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40583,53,"Fuselage","5320","AALA202212010571","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30905,53,"Fuselage","5320","AALA202212064064","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30088,52,"Doors","5210","AALA202212122233","door",3,"PASSENGER/CREW DOORS"
31111,55,"Stabilizers","5510","AALA202212211934","other",0,"HORIZONTAL STABILIZER STRUCTURE"
31253,25,"Equipment / Furnishings","2560","AALA202212148253","door",1,"EMERGENCY EQUIPMENT"
30903,53,"Fuselage","5310","AALA202304186650","other",0,"FUSELAGE MAIN, STRUCTURE"
31095,27,"Flight Controls","2700","AALA202212166396","CND",3,"FLIGHT CONTROL SYSTEM"
29554,53,"Fuselage","5320","AALA202212206113","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29554,53,"Fuselage","5320","AALA202212212929","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212230282","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33343,53,"Fuselage","5320","AALA202212234657","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212276622","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31277,30,"Ice And Rain Protection","3040","AALA202211088508","window",3,"WINDSHIELD/DOOR RAIN/ICE REMOVAL"
40584,53,"Fuselage","5320","AALA202301105834","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29523,53,"Fuselage","5320","AALA202211109416","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29504,53,"Fuselage","5320","AALA202211147042","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29503,53,"Fuselage","5320","AALA202211146888","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29503,53,"Fuselage","5310","AALA202211148562","other",0,"FUSELAGE MAIN, STRUCTURE"
29504,53,"Fuselage","5310","AALA202211154699","other",0,"FUSELAGE MAIN, STRUCTURE"
29554,53,"Fuselage","5310","AALA202212231201","other",0,"FUSELAGE MAIN, STRUCTURE"
29503,53,"Fuselage","5320","AALA202211188820","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33334,52,"Doors","5210","AALA202211254364","door",0,"PASSENGER/CREW DOORS"
31109,53,"Fuselage","5320","AALA202211293096","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31109,53,"Fuselage","5320","AALA202211297825","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29504,56,"Windows","5610","AALA202212092794","window",0,"FLIGHT COMPARTMENT WINDOWS"
29546,21,"Air Conditioning","2120","AALA202212129254","other",3,"AIR DISTRIBUTION SYSTEM"
29505,53,"Fuselage","5310","AALA202301123979","other",0,"FUSELAGE MAIN, STRUCTURE"
29528,53,"Fuselage","5330","AALA202301127767","other",0,"FUSELAGE MAIN, PLATE/SKIN"
31233,21,"Air Conditioning","2120","AALA202212126228","CND",3,"AIR DISTRIBUTION SYSTEM"
31111,55,"Stabilizers","5510","AALA202212218306","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29508,53,"Fuselage","5340","AALA202212137778","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
30903,55,"Stabilizers","5510","AALA202212067252","other",0,"HORIZONTAL STABILIZER STRUCTURE"
31109,53,"Fuselage","5320","AALA202212066259","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30905,53,"Fuselage","5310","AALA202212076429","other",0,"FUSELAGE MAIN, STRUCTURE"
31127,52,"Doors","5210","AALA202212076792","door",0,"PASSENGER/CREW DOORS"
40762,52,"Doors","5250","AALA202212199004","latch",0,"FIXED INNER DOORS"
33213,33,"Lights","3350","AALA202212190259","other",1,"EMERGENCY LIGHTING"
29554,53,"Fuselage","5320","AALA202212219400","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202212227442","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30903,53,"Fuselage","5310","AALA202212227983","other",0,"FUSELAGE MAIN, STRUCTURE"
31196,33,"Lights","3350","AALA202211036564","other",1,"EMERGENCY LIGHTING"
29508,53,"Fuselage","5310","AALA202212277735","other",0,"FUSELAGE MAIN, STRUCTURE"
31265,56,"Windows","5610","AALA202211073141","window",0,"FLIGHT COMPARTMENT WINDOWS"
29505,53,"Fuselage","5320","AALA202301187118","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31277,56,"Windows","5610","AALA202211073194","window",3,"FLIGHT COMPARTMENT WINDOWS"
29504,53,"Fuselage","5310","AALA202211239059","control rod",0,"FUSELAGE MAIN, STRUCTURE"
40583,53,"Fuselage","5320","AALA202211251565","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40583,53,"Fuselage","5320","AALA202211255503","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31109,53,"Fuselage","5310","AALA202211301057","other",0,"FUSELAGE MAIN, STRUCTURE"
44475,33,"Lights","3350","AALA202212129961","other",1,"EMERGENCY LIGHTING"
44479,33,"Lights","3350","AALA202212120738","other",1,"EMERGENCY LIGHTING"
30088,53,"Fuselage","5340","AALA202212128962","CND",3,"FUSELAGE MAIN, ATTACH FITTINGS"
31231,33,"Lights","3350","AALA202212216768","other",1,"EMERGENCY LIGHTING"
31111,55,"Stabilizers","5510","AALA202212219291","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29546,53,"Fuselage","5330","AALA202301179377","panel",0,"FUSELAGE MAIN, PLATE/SKIN"
29505,53,"Fuselage","5320","AALA202301181736","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5320","AALA202301189703","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212204589","other",0,"HORIZONTAL STABILIZER STRUCTURE"
31111,53,"Fuselage","5320","AALA202212206719","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29542,53,"Fuselage","5310","AALA202412272525","other",0,"FUSELAGE MAIN, STRUCTURE"
29503,53,"Fuselage","5310","AALA202212223888","wheel",0,"FUSELAGE MAIN, STRUCTURE"
29508,53,"Fuselage","5320","AALA202212232715","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212273422","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212277433","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212277267","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29508,53,"Fuselage","5320","AALA202212274828","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44465,56,"Windows","5610","AALA202212281738","window",3,"FLIGHT COMPARTMENT WINDOWS"
31208,25,"Equipment / Furnishings","2560","AALA202211088423","door",1,"EMERGENCY EQUIPMENT"
29523,53,"Fuselage","5320","AALA202211102866","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29523,53,"Fuselage","5320","AALA202211102422","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33318,33,"Lights","3350","AALA202211111261","door",1,"EMERGENCY LIGHTING"
33230,52,"Doors","5250","AALA202211174793","door",0,"FIXED INNER DOORS"
30079,34,"Navigation","3410","AALA202211210728","switch",3,"FLIGHT ENVIRONMENT DATA"
31233,49,"Airborne Auxiliary Power","4920","AALA202301106228","apu component",3,"APU CORE ENGINE"
33233,72,"Engine","7200","AALA202301104010","engine",3,"ENGINE (TURBINE/TURBOPROP)"
29503,53,"Fuselage","5320","AALA202211185060","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30090,52,"Doors","5210","AALA202211183680","door",0,"PASSENGER/CREW DOORS"
30094,56,"Windows","5610","AALA202211187833","window",0,"FLIGHT COMPARTMENT WINDOWS"
29555,53,"Fuselage","5320","AALA202211212232","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5320","AALA202211224816","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30094,55,"Stabilizers","5510","AALA202211222254","panel",0,"HORIZONTAL STABILIZER STRUCTURE"
40583,55,"Stabilizers","5510","AALA202211234542","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29563,72,"Engine","7230","AALA202211234021","CND",3,"TURBINE ENGINE COMPRESSOR SECTION"
31157,27,"Flight Controls","2710","AALA202211273175","sensor",3,"AILERON CONTROL SYSTEM"
31109,53,"Fuselage","5320","AALA202211298946","control rod",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30905,53,"Fuselage","5320","AALA202212015768","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29505,53,"Fuselage","5310","AALA202301125004","other",0,"FUSELAGE MAIN, STRUCTURE"
30905,33,"Lights","3350","AALA202212124876","door",1,"EMERGENCY LIGHTING"
29546,21,"Air Conditioning","2120","AALA202212099254","CND",3,"AIR DISTRIBUTION SYSTEM"
30906,33,"Lights","3350","AALA202212053268","door",1,"EMERGENCY LIGHTING"
30907,25,"Equipment / Furnishings","2560","AALA202212052525","door",1,"EMERGENCY EQUIPMENT"
30905,53,"Fuselage","5320","AALA202212063587","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31111,55,"Stabilizers","5510","AALA202212214132","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29506,26,"Fire Protection","2610","AALA202212148401","other",2,"DETECTION SYSTEM"
31178,25,"Equipment / Furnishings","2560","AALA202212162019","other",1,"EMERGENCY EQUIPMENT"
30903,53,"Fuselage","5310","AALA202212147827","control rod",0,"FUSELAGE MAIN, STRUCTURE"
30095,33,"Lights","3350","AALA202212152564","pack",1,"EMERGENCY LIGHTING"
31111,53,"Fuselage","5320","AALA202212202692","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30094,33,"Lights","3350","AALA202510100315","other",1,"EMERGENCY LIGHTING"
31111,53,"Fuselage","5320","AALA202212204467","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33233,72,"Engine","7200","AALA202212294010","CND",3,"ENGINE (TURBINE/TURBOPROP)"
31111,53,"Fuselage","5320","AALA202212207799","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29554,53,"Fuselage","5320","AALA202212217161","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29554,53,"Fuselage","5320","AALA202212214516","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
