"id","operator_control_number","difficulty_date","submission_date","operator_designator_id","submitter_designator_id","submitter_type_code","receiving_region_code","receiving_district_office","sdr_type","nature_condition_a","nature_condition_b","nature_condition_c","precautionary_proc_a","precautionary_proc_b","precautionary_proc_c","precautionary_proc_d","stage_of_operation","how_discovered","discrepancy","aircraft_id","operator_id","jasc_code","engine_make","engine_model","engine_serial_number","engine_total_time","engine_total_cycles","propeller_make","propeller_model","propeller_serial_number","propeller_total_time","propeller_total_cycles","part_make","part_name","part_number","part_serial_number","part_condition","part_location","part_total_time","part_total_cycles","part_time_since","part_since_code","component_make","component_model","component_name","component_part_number","component_serial_number","component_location","component_total_time","component_total_cycles","component_time_since","component_since_code","fuselage_station_from","fuselage_station_to","stringer_from","stringer_from_side","stringer_to","stringer_to_side","wing_station_from","wing_station_from_side","wing_station_to","wing_station_to_side","butt_line_from","butt_line_from_side","butt_line_to","butt_line_to_side","water_line_from","water_line_to","crack_length","number_of_cracks","corrosion_level","structural_other","aog_flag","severity","emer_flag","divert_flag","fail_flag","fault_flag","inter_flag","fire_flag","leak_flag","press_flag","elec_flag","fuel_flag","hyd_flag","flightctrl_flag","struct_flag","mel_flag","failed_part","jasc_code_description","ata_chapter","ata_chapter_description"
28359,"AALA202301301740","2023-01-27","2023-01-30",7,7,"A","SW","23","A","O","","","O","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: GIRT BAR R1 DOOR LOOSE. REMOVED AND REPLACED R1 DOOR GIRT CLIPS.",475,7,"2560","","","","","","","","","","","","RETAINER","","","LOOSE","R1 GIRT BAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","door","EMERGENCY EQUIPMENT",25,"Equipment / Furnishings"
23849,"AALA202505198726","2025-05-17","2025-05-20",7,7,"A","SW","21","A","O","","","K","","","","IN","V","AIRCRAFT WAS GROUNDED: FORWARD LEFT L1 DOOR WILL NOT OPEN. (OPEN).",967,7,"5210","","","","","","","","","","","","DOOR","","","FAULTED","L1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","PASSENGER/CREW DOORS",52,"Doors"
36187,"AALA202212124063","2022-12-11","2022-12-12",7,7,"A","SW","23","A","O","","","O","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: LAVATORY DOOR DIFFICULT TO OPEN OR CLOSE. RESECURED SCREW AROUND TRACK AREA L4 OK FOR SERVICE.",422,7,"5250","","","","","","","","","","","","SCREW","","","UNSECURE","DOOR TRACK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
36290,"AALA202211164512","2022-11-14","2022-11-16",7,7,"A","SW","23","A","O","","","O","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: LAVATORY D DIFFICULT TO OPEN AND CLOSE CORRECTED ATA CODE. (OPEN)",1102,7,"5250","","","","","","","","","","","","DOOR","","","BINDING","LAVATORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","FIXED INNER DOORS",52,"Doors"
36291,"AALA202211180154","2022-11-17","2022-11-18",7,7,"A","SW","23","A","O","","","O","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: COCKPIT DOOR VERY DIFFICULT TO CLOSE LOCK. LUBRICATED LOCKING MECHANISM.",275,7,"5250","","","","","","","","","","","","LOCK","","","LACK OF LUBE","COCKPIT DOOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
28420,"AALA202301035034","2023-01-01","2023-01-03",7,7,"A","SW","23","A","O","","","K","","","","IN","O","AIRCRAFT WAS NOT GROUNDED: LEFT AFT LAVATORY DOOR DIFFICULT TO OPEN. ADJUSTED DOOR TO HINGE MOUNTS.",237,7,"5250","","","","","","","","","","","","MOUNT","","","BINDING","AFT LAV DOOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","hinge","FIXED INNER DOORS",52,"Doors"
28504,"AALA202303061055","2023-03-03","2023-03-06",7,7,"A","SW","23","A","O","","","K","","","","UK","O","AIRCRAFT WAS NOT GROUNDED: MEGAPHONE INOPERATIVE. REPLACED BATTERY PER AMM 25-64-00",1143,7,"2560","","","","","","","","","","","","BATTERY","","","INOPERATIVE","ZONE 200 - FUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","battery","EMERGENCY EQUIPMENT",25,"Equipment / Furnishings"
47543,"AALA202307275795","2023-07-26","2023-07-27",7,7,"A","SW","23","A","L","","","K","","","","IN","C","AIRCRAFT IN BASE MAINTENANCE: MEGAPHONE IN THE G7 GALLEY IS INOPERATIVE. REPLACED BATTERIES PER AMM 25-64-00.",286,7,"2560","","","","","","","","","","","","BATTERY","EN91","","INOPERATIVE","ZONE 200 - FUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","battery","EMERGENCY EQUIPMENT",25,"Equipment / Furnishings"
50768,"AALA202304050078","2023-04-03","2023-04-05",7,7,"A","SW","23","A","O","","","K","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: FLIGHT DOOR DIFFICULT TO CLOSE. REPLACED COCKPIT DOOR LATCH.",1056,7,"5250","","","","","","","","","","","","DOOR LATCH","CDSP10131","","DAMAGED","ZONE 800 - DOORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","latch","FIXED INNER DOORS",52,"Doors"
28880,"AALA202303281542","2023-03-27","2023-03-28",7,7,"A","SW","23","A","O","","","K","","","","IN","O","AIRCRAFT WAS NOT GROUNDED: FLOOR IN AISLE AROUND ROW 20 SOFT AND MAKES NOISE WHEN STEPPED ON. REPAIRED PER AARD.",688,7,"5321","","","","","","","","","","","","FLOORBOARD","","","DAMAGED","ZONE 200 - FUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","other","FUSELAGE FLOOR PANEL",53,"Fuselage"
